edge_id,freq,lanes,length_m,speed_kmh,capacity,peak_flow,avg_flow,vc_ratio,bpr_factor,los_grade,los_desc,travel_free,travel_actual,delay_s,risk_score
191937837#4,90,1,3.93,50.0,1800.0,660.0,300.0,0.3667,1.0027,B,"Ổn định, ít bị ảnh hưởng",0.28,0.28,0.0,0.2918
1435980096,89,1,0.2,80.0,1800.0,660.0,314.1,0.3667,1.0027,B,"Ổn định, ít bị ảnh hưởng",0.01,0.01,0.0,0.2906
191937846#0,87,1,49.36,100.0,1800.0,660.0,314.1,0.3667,1.0027,B,"Ổn định, ít bị ảnh hưởng",1.78,1.78,0.0,0.2884
-191937837#1,97,1,76.55,50.0,1800.0,600.0,363.3,0.3333,1.0019,A,Thông thoáng hoàn toàn,5.51,5.52,0.01,0.2839
191937846#1,83,1,4.16,100.0,1800.0,660.0,311.2,0.3667,1.0027,B,"Ổn định, ít bị ảnh hưởng",0.15,0.15,0.0,0.2834
191937846#2,83,1,1.08,100.0,1800.0,660.0,311.2,0.3667,1.0027,B,"Ổn định, ít bị ảnh hưởng",0.04,0.04,0.0,0.2833
1272225924#0,138,2,0.1,100.0,3600.0,780.0,487.1,0.2167,1.0003,A,Thông thoáng hoàn toàn,0.0,0.0,0.0,0.2746
-191937837#3,88,1,36.74,50.0,1800.0,600.0,310.0,0.3333,1.0019,A,Thông thoáng hoàn toàn,2.65,2.65,0.0,0.2729
-566567148#0,74,1,30.41,100.0,1800.0,660.0,281.2,0.3667,1.0027,B,"Ổn định, ít bị ảnh hưởng",1.09,1.1,0.0,0.2726
-566567148#1,74,1,3.11,100.0,1800.0,660.0,277.5,0.3667,1.0027,B,"Ổn định, ít bị ảnh hưởng",0.11,0.11,0.0,0.2725
404368566,102,2,1161.78,60.0,3600.0,1020.0,753.3,0.2833,1.001,A,Thông thoáng hoàn toàn,69.69,69.76,0.07,0.2704
-1275903810,72,1,1.01,100.0,1800.0,660.0,270.0,0.3667,1.0027,B,"Ổn định, ít bị ảnh hưởng",0.04,0.04,0.0,0.2701
-191937837#4,85,1,3.93,50.0,1800.0,600.0,300.0,0.3333,1.0019,A,Thông thoáng hoàn toàn,0.28,0.28,0.0,0.2691
-722357075,140,2,7.84,100.0,3600.0,720.0,494.1,0.2,1.0002,A,Thông thoáng hoàn toàn,0.28,0.28,0.0,0.2687
-191937837#5,84,1,19.52,50.0,1800.0,600.0,307.1,0.3333,1.0019,A,Thông thoáng hoàn toàn,1.41,1.41,0.0,0.268
-191937837#2,94,1,85.91,50.0,1800.0,540.0,340.0,0.3,1.0012,A,Thông thoáng hoàn toàn,6.19,6.19,0.01,0.2637
-191937846#3,94,1,63.37,100.0,1800.0,540.0,335.3,0.3,1.0012,A,Thông thoáng hoàn toàn,2.28,2.28,0.0,0.2636
-191937837#0,74,1,288.13,50.0,1800.0,600.0,352.9,0.3333,1.0019,A,Thông thoáng hoàn toàn,20.74,20.78,0.04,0.2573
191937848#1,140,3,16.22,100.0,5400.0,780.0,470.0,0.1444,1.0001,A,Thông thoáng hoàn toàn,0.58,0.58,0.0,0.241
-1149832778#3,75,1,12.84,100.0,1800.0,540.0,253.3,0.3,1.0012,A,Thông thoáng hoàn toàn,0.46,0.46,0.0,0.2404
191937848#0,139,3,16.84,100.0,5400.0,780.0,476.7,0.1444,1.0001,A,Thông thoáng hoàn toàn,0.61,0.61,0.0,0.2398
-723594683,73,1,35.32,100.0,1800.0,540.0,277.5,0.3,1.0012,A,Thông thoáng hoàn toàn,1.27,1.27,0.0,0.2381
1272225923#2,137,3,0.2,100.0,5400.0,780.0,483.5,0.1444,1.0001,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.2373
1270828726,140,3,12.28,100.0,5400.0,720.0,494.1,0.1333,1.0,A,Thông thoáng hoàn toàn,0.44,0.44,0.0,0.2354
-191937846#4,84,1,157.11,100.0,1800.0,480.0,303.3,0.2667,1.0008,A,Thông thoáng hoàn toàn,5.66,5.66,0.0,0.2353
719482084#2,111,2,146.39,60.0,3600.0,720.0,462.4,0.2,1.0002,A,Thông thoáng hoàn toàn,8.78,8.78,0.0,0.2345
720360978#1,70,1,32.53,100.0,1800.0,540.0,262.5,0.3,1.0012,A,Thông thoáng hoàn toàn,1.17,1.17,0.0,0.2345
722556034#1,138,3,5.13,100.0,5400.0,720.0,460.0,0.1333,1.0,A,Thông thoáng hoàn toàn,0.18,0.18,0.0,0.233
722556034#0,138,3,0.2,100.0,5400.0,720.0,460.0,0.1333,1.0,A,Thông thoáng hoàn toàn,0.01,0.01,0.0,0.2329
720360978#0,67,1,1.28,100.0,1800.0,540.0,251.2,0.3,1.0012,A,Thông thoáng hoàn toàn,0.05,0.05,0.0,0.2307
191937850#1,109,2,75.53,100.0,3600.0,660.0,398.8,0.1833,1.0002,A,Thông thoáng hoàn toàn,2.72,2.72,0.0,0.2234
404368568,92,3,1196.66,80.0,5400.0,1140.0,593.3,0.2111,1.0003,A,Thông thoáng hoàn toàn,53.86,53.87,0.02,0.2225
722357075,112,2,7.84,100.0,3600.0,600.0,395.3,0.1667,1.0001,A,Thông thoáng hoàn toàn,0.28,0.28,0.0,0.2183
-347962231#1,67,1,232.92,50.0,1800.0,480.0,270.0,0.2667,1.0008,A,Thông thoáng hoàn toàn,16.77,16.78,0.01,0.2152
347962231#1,67,1,230.0,50.0,1800.0,480.0,310.0,0.2667,1.0008,A,Thông thoáng hoàn toàn,16.56,16.57,0.01,0.2152
191937846#3,65,1,63.37,100.0,1800.0,480.0,232.9,0.2667,1.0008,A,Thông thoáng hoàn toàn,2.28,2.28,0.0,0.212
-1175493775#1,50,1,118.46,100.0,1800.0,540.0,194.1,0.3,1.0012,A,Thông thoáng hoàn toàn,4.26,4.27,0.01,0.2108
-1175493775#0,47,1,364.97,100.0,1800.0,540.0,213.8,0.3,1.0012,A,Thông thoáng hoàn toàn,13.14,13.15,0.02,0.2085
191937846#4,61,1,157.1,100.0,1800.0,480.0,236.7,0.2667,1.0008,A,Thông thoáng hoàn toàn,5.66,5.66,0.0,0.2076
-566577331,61,1,2.55,80.0,1800.0,480.0,203.3,0.2667,1.0008,A,Thông thoáng hoàn toàn,0.11,0.11,0.0,0.2068
720360982#2,74,1,1.03,100.0,1800.0,420.0,246.7,0.2333,1.0004,A,Thông thoáng hoàn toàn,0.04,0.04,0.0,0.2058
-606920724#1,57,1,18.26,80.0,1800.0,480.0,201.2,0.2667,1.0008,A,Thông thoáng hoàn toàn,0.82,0.82,0.0,0.2021
1484447761#1,0,1,39479.05,350.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,406.08,406.08,0.0,0.2
1484447762#1,0,1,39484.97,350.0,1800.0,0.0,0.0,0.0,1.0,A,Thông thoáng hoàn toàn,406.14,406.14,0.0,0.2
1215970291,102,2,17.61,100.0,3600.0,540.0,360.0,0.15,1.0001,A,Thông thoáng hoàn toàn,0.63,0.63,0.0,0.198
-408193287#0,65,1,55.33,100.0,1800.0,420.0,232.9,0.2333,1.0004,A,Thông thoáng hoàn toàn,1.99,1.99,0.0,0.1953
1435980094,99,2,47.15,60.0,3600.0,540.0,370.6,0.15,1.0001,A,Thông thoáng hoàn toàn,2.83,2.83,0.0,0.1945
1270828724,113,3,9.01,100.0,5400.0,600.0,402.4,0.1111,1.0,A,Thông thoáng hoàn toàn,0.32,0.32,0.0,0.1917
1269264063,87,2,3.93,60.0,3600.0,600.0,307.1,0.1667,1.0001,A,Thông thoáng hoàn toàn,0.24,0.24,0.0,0.1882
